id,judul,ringkasan,popularitas,dewasa,original_language,id_negara,negara,id_perusahaan,perusahaan,negara_asal_perusahaan,durasi,pendapatan,tanggal_rilis,jumlah_vote,vote_rata_rata,sertifikasi,id_imdb,tahun_rilis
498706,Wanita Segala Zaman,,0.654,False,id,ID,Indonesia,7872.0,Rapi Films,ID,89,0,1979-01-16,0,0.0,,,1979
242752,Vakansi yang Janggal dan Penyakit Lainnya,,0.654,False,id,ID,Indonesia,114901.0,Limaenam Films,ID,90,0,2012-08-04,2,4.5,,tt2333218,2012
106559,Bangkitnya Si Mata Malaikat,,0.654,False,id,ID,Indonesia,42833.0,P.T. Hargulin Film,,87,0,1988-01-01,0,0.0,,tt1866101,1988
899768,Sampai Jumpa di Pertemuan Akhir,,0.6,False,id,ID,Indonesia,148980.0,Pure Pictures,,70,0,2022-02-20,0,0.0,,,2022
638986,Rumah Jagal,,0.6,False,id,ID,Indonesia,124039.0,GENFLIX,,95,0,2019-10-17,1,5.0,,,2019
573026,Salah Masuk,,0.6,False,id,ID,Indonesia,16514.0,Soraya Intercine Films,ID,88,0,1992-03-18,2,8.5,,,1992
94720,Sang Penari,,0.65,False,id,ID,Indonesia,77167.0,Salto Films,,112,0,2011-11-10,4,5.9,,tt1989598,2011
882135,Overtime,,0.6,False,id,ID,Indonesia,162214.0,Pendulum Pictures,,10,0,2021-02-22,1,10.0,,,2021
361386,Ini Adalah Cinta,"Rachel (Yuki Kato) dan Farel (Shawn Adrian Khulafa) bersahabat erat, juga pasangan duet yang serasi: Rachel menyanyi dan Farel bermain piano. Rachel yang berani, melengkapi Farel yang pemalu.  Di akhir masa taman kanak-kanak, Rachel dan Farel terpaksa berpisah. Beberapa kecelakaan kecil yang dialami Rachel tiap berdekatan dengan Farel membuat Mama (Aida Nurmala)  memutuskan membawa Rachel pergi ke New Zealand.",0.647,False,id,ID,Indonesia,14140.0,Starvision Plus,ID,88,0,2015-02-12,1,7.0,13+,,2015
513989,Terowongan Casablanca,,0.646,False,id,ID,Indonesia,,,,75,0,2007-03-26,0,0.0,,tt1066492,2007
552386,Kesempatan Keduda,,0.645,False,id,ID,Indonesia,104945.0,RA Pictures,ID,95,0,2018-10-11,0,0.0,13+,tt9060948,2018
650850,Empu,,0.611,False,id,ID,Indonesia,125738.0,terasmitra,,60,0,2019-11-10,0,0.0,SU,,2019
570590,Video Maut,,0.643,False,id,ID,Indonesia,64759.0,Sentra Films,ID,72,0,2016-07-06,1,1.0,,,2016
555361,Rumah dan Bunga Matahari,"Menceritakan tentang sepasang suami istri yang sibuk mempersiapkan rumah dalam rangka menyambut tamu spesial yang akan datang malam itu. Dalam persiapannya, mereka teringat akan masa lalu, juga berbagi kepedulian satu sama lain.",0.642,False,id,ID,Indonesia,17701.0,Jakarta Institute of the Arts,,13,0,2018-07-19,1,9.0,,tt9163076,2018
