id,nama
12,Petualangan
14,Fantasi
16,Animasi
18,Drama
27,Kengerian
28,Aksi
35,Komedi
36,Sejarah
37,Barat
53,Cerita Seru
80,Kejahatan
99,Dokumenter
878,Cerita Fiksi
9648,Misteri
10402,Musik
10749,Percintaan
10751,Keluarga
10752,Kejahatan
10770,Film TV
